load-req,load-ach,CPU,cycles,RTT mean,,,,,,,,,,,,,,,,,
10,10,0.04,,1606,,,,,,,,,,,,,,,,,
20,20,0.081,,1549,,,,,,,,,,,,,,,,,
50,50,0.174,,1163,,,,,,,,,,,,,,,,,
100,99.999,0.277,,1143,,,,,,,,,,,,,,,,,
200,200.003,0.519,,1029,,,,,,,,,,,,,,,,,
300,300.002,0.732,,1004,,,,,,,,,,,,,,,,,
400,399.987,0.914,,1036,,,,,,,,,,,,,,,,,
500,499.973,1.012,,1030,,,,,,,,,,,,,,,,,
600,600.015,1.184,,1011,,,,,,,,,,,,,,,,,
700,700.011,1.205,,999,,,,,,,,,,,,,,,,,
800,800.033,1.214,,1022,,,,,,,,,,,,,,,,,
900,897.89,1.224,,1048,,,,,,,,,,,,,,,,,
957,943.771,1.439,,1865,,,,,,,,,,,,,,,,,
#,Source: https://docs.google.com/spreadsheets/d/1d1hKhZVVbEvxm7ehs7sXc1KvGjfdJ0RHR4YiMPzR8O8,,,,,,,,,,,,,,,,,,,,
#,"Measured by Junming using ipbench 2024-03-19, 2 cores",,,,,,,,,,,,,,,,,,,,
#,Linux 6.1.1,,,,,,,,,,,,,,,,,,,,
#100,100,40,,1138,,,,,,,,,,,,,,,,,
#200,200,56,,1045,,,,,,,,,,,,,,,,,
#300,300,76,,1028,,,,,,,,,,,,,,,,,
#400,400,100,,1048,,,,,,,,,,,,,,,,,
#500,500,112,,1024,,,,,,,,,,,,,,,,,
#600,600,128,,980,,,,,,,,,,,,,,,,,
#700,700,136,,974,,,,,,,,,,,,,,,,,
#800,792.23,152,,1000,,,,,,,,,,,,,,,,,
#900,806.52,164,,1544,,,,,,,,,,,,,,,,,
#1000,809.9,164,,2079,,,,,,,,,,,,,,,,,
##,Source https://github.com/lucypa/thesis/blob/main/imgs/benchmarks/linux_multicore.ipbench,,,,,,,,,,,,,,,,,,,,
##,Measured by Lucy using ipbench 2023-10-20,,,,,,,,,,,,,,,,,,,,
##,Linux multicore,,,,,,,,,,,,,,,,,,,,