config,proto,req_mbps,recv_mbps,loss_pct,jitter_ms,lost_pkts,total_pkts,pps,dur_s,cpu_util_pct,busy_cyc,idle_cyc,total_cyc,kernel_cyc,kernel_entries,schedules,rtt_min_us,rtt_mean_us,rtt_max_us,rtt_sd_us,tx_segs,l1_icache_miss,l1_dcache_miss
single,udp,100,43.9,54.95,0.0211,46095,83888,8349,10.05,6.5,390265062,5579449349,5969714411,,,,,,,,,,
single,udp,200,77.9,60.06,0.0188,100760,167757,16697,10.05,12.5,748846287,5220749306,5969595593,,,,,,,,,,
single,udp,300,148.0,49.42,0.0184,124368,251658,25047,10.05,18.3,1107569918,4948796083,6056366001,,,,,,,,,,
single,udp,400,339.2,13.05,0.0120,43773,335551,33398,10.05,24.2,1466583781,4589173487,6055757268,,,,,,,,,,
single,udp,500,450.6,7.59,0.0104,31825,419440,41746,10.05,30.3,1834009573,4222144919,6056154492,,,,,,,,,,
single,udp,600,497.1,15.35,0.0117,77188,503002,50270,10.01,36.5,2191894282,3807855502,5999749784,,,,,,,,,,
single,udp,700,681.0,0.47,0.0101,2748,586195,58583,10.01,42.4,2544877465,3455298642,6000176107,,,,,,,,,,
single,udp,800,776.1,0.65,0.0112,4337,669233,66882,10.01,48.4,2901245738,3099113355,6000359093,,,,,,,,,,
single,udp,900,878.1,0.00,0.0104,0,752263,75179,10.01,54.3,3257905547,2742410700,6000316247,,,,,,,,,,
single,udp,1000,947.2,0.00,0.0109,0,811400,81092,10.01,58.3,3496501912,2503607116,6000109028,,,,,,,,,,
single,tcp,100,99.5,,,,,,,8.0,953268359,11015230951,11968499310,287710841,385859,331318,67,2279,2864,337,86221,1473261,6086038
single,tcp,200,198.6,,,,,,,16.0,1909408017,10048641629,11958049646,567130901,752997,645276,84,2261,2904,219,171499,3101678,12556548
single,tcp,300,298.2,,,,,,,24.2,2894256199,9086338048,11980594247,850303609,1124383,963528,99,2239,2887,205,258966,4817227,19333278
single,tcp,400,396.8,,,,,,,32.3,3864014133,8100249864,11964263997,1128098523,1487684,1274268,87,2237,2863,183,343758,6522313,26038450
single,tcp,500,495.1,,,,,,,40.4,4823460898,7122988288,11946449186,1401516193,1847027,1581821,89,2236,2850,169,428380,8219468,32760907
single,tcp,600,594.5,,,,,,,48.6,5814280185,6144712819,11958993004,1683953526,2218623,1899020,95,2231,2890,172,515169,9965324,39753985
single,tcp,700,693.6,,,,,,,56.7,6811880674,5192796684,12004677358,1966311529,2588886,2215923,101,2229,2863,168,602215,11745207,46806454
single,tcp,800,793.5,,,,,,,64.6,7752050678,4242349290,11994399968,2238629146,2965110,2537258,96,2227,2853,165,688218,13584788,53805041
single,tcp,900,893.4,,,,,,,73.5,8829697788,3181059724,12010757512,2526267674,3341997,2857707,96,2231,2843,157,776034,15712534,62156141
single,tcp,1000,938.1,,,,,,,84.8,10173129184,1823639700,11996768884,2651095162,3478969,2958689,96,2224,2417,121,813884,18810097,82396603
two,udp,100,53.8,44.88,0.0590,37516,83584,8358,10,4.8,577407001,11422220144,11999627145,167409304,174028,147380,,,,,,85251,1005865
two,udp,200,128.1,34.14,0.0574,56904,166688,16669,10,8.6,1035580839,10964757518,12000338357,299156816,316162,269116,,,,,,162598,1895238
two,udp,300,253.0,13.20,0.0621,32959,249660,24966,10,12.4,1488851419,10511351371,12000202790,429614384,457769,390433,,,,,,240495,2789300
two,udp,400,340.5,12.37,0.0227,41173,332900,33290,10,16.2,1948836863,10051025564,11999862427,562854517,601597,513366,,,,,,319592,3695786
two,udp,500,454.4,6.40,0.0272,26610,415892,41589,10,20.1,2410156781,9589213227,11999370008,696489332,745746,636636,,,,,,400199,4596143
two,udp,600,569.5,2.22,0.0090,11083,499032,49903,10,23.8,2861845536,9138374775,12000220311,826630015,886988,757888,,,,,,476671,5483581
two,udp,700,670.9,1.27,0.0100,7366,582124,58212,10,27.7,3319452841,8679673739,11999126580,958455426,1029648,879948,,,,,,555434,6387955
two,udp,800,771.8,0.59,0.0093,3956,665192,66519,10,31.5,3780636439,8219169955,11999806394,1092126201,1174164,1003402,,,,,,636080,7280913
two,udp,900,871.9,0.17,0.0106,1235,748224,74822,10,35.3,4238313926,7762082662,12000396588,1224230340,1316970,1125737,,,,,,715084,8198359
two,udp,1000,947.4,0.00,0.0095,26,811657,81166,10,37.3,4482027415,7518182514,12000209929,1290474149,1395681,1199271,,,,,,777901,8824039
two,tcp,100,99.1,,,,,,,5.0,1200331685,22754272145,23954603830,327165599,310844,262410,381,2336,2882,217,85534,959502,5458753
two,tcp,200,198.0,,,,,,,9.9,2360137578,21581453942,23941591520,650424405,617549,522480,96,2261,2887,174,170971,2012712,11239365
two,tcp,300,296.9,,,,,,,15.0,3593040029,20373247451,23966287480,987463125,928673,784457,338,2251,2838,150,257782,3260525,17472424
two,tcp,400,395.8,,,,,,,20.0,4786492208,19200522183,23987014391,1317417869,1238350,1046067,94,2240,2846,141,344392,4391826,23392333
two,tcp,500,494.5,,,,,,,25.0,5992409814,17992529333,23984939147,1647448172,1545257,1305310,398,2238,2843,125,430171,5611241,29670820
two,tcp,600,594.0,,,,,,,30.1,7208447999,16769536868,23977984867,1976781301,1851186,1564741,403,2236,2836,130,515833,6832905,36069309
two,tcp,700,692.4,,,,,,,35.0,8385759428,15582848534,23968607962,2303371646,2158187,1823733,407,2232,2860,129,601486,7939634,41951851
two,tcp,800,793.3,,,,,,,40.0,9586877743,14406656434,23993534177,2635807609,2474901,2093443,405,2232,2830,119,688289,9354554,48595251
two,tcp,900,892.3,,,,,,,45.3,10870307834,13136468783,24006776617,2974671065,2777332,2347995,413,2232,2851,125,774513,10677955,55239201
two,tcp,1000,938.1,,,,,,,51.8,12431504372,11573876744,24005381116,3214366789,2912900,2459025,402,2225,2480,92,814290,15339785,75834510
